物料编码,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05
6004010229,2,8,26,74,17,10,66,14,12,9,14,21,5,14,19,35,19,20,17,17,11,13,10,5,6,2,33,33,16,4,22,29,28,6,7,3,3,0,30,44,1
6004010231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,8,1,0,1,6,0,7,3,1,4,2,0,9,8,0,0,5,0,0,0,0,0,0
6004010237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010239,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010248,0,0,0,0,1,8,24,0,0,0,0,0,0,58,22,72,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010249,3,1,167,4,0,17,0,15,6,20,30,0,0,0,0,0,0,0,1,2,0,10,0,0,0,0,1,1,0,2,0,1,3,127,102,3,2,5,0,6,0
6004010250,0,0,105,51,26,22,58,24,21,14,29,32,12,0,46,0,25,0,38,7,21,0,41,0,17,0,58,4,0,8,0,0,0,0,0,0,0,0,0,0,0
6004010252,10,3,10,743,0,20,100,977,863,16,488,0,0,0,0,0,0,0,0,0,0,0,600,70,165,0,0,10,0,0,0,0,0,18,0,10,0,0,0,0,0
6004010254,0,5,2,3,9,34,45,8,8,8,41,6,4,0,2,17,27,34,22,13,43,83,64,47,21,15,71,29,25,56,32,21,65,50,40,49,12,3,34,37,9
6004010255,9,0,0,7,11,27,23,21,5,2,2,20,3,0,1,24,36,99,50,22,83,39,33,70,11,2,53,68,47,78,27,24,26,28,15,38,10,8,30,30,8
6004010256,1,7,8,19,25,28,18,17,16,10,32,47,18,9,36,39,21,43,62,32,39,93,113,88,63,21,56,70,62,72,50,63,48,48,32,51,21,21,36,27,23
6004010257,0,0,1,29,60,90,22,15,34,10,17,16,15,0,3,33,14,1,12,6,7,10,1,13,7,3,10,13,24,12,16,3,4,0,7,3,2,5,0,21,0
6004010259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010270,0,0,226,17,3,0,35,0,31,30,32,0,0,0,0,0,96,4,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010273,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010279,0,0,0,0,0,37,589,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010280,0,0,0,0,0,0,0,0,26,46,15,8,79,0,60,71,0,0,70,27,115,1,88,40,9,6,13,37,4,7,37,53,2,1,44,28,0,0,0,0,0
6004010281,0,0,0,0,0,0,0,0,0,0,0,25,23,0,0,41,2,0,35,0,17,0,0,0,13,0,8,2,1,2,20,19,12,0,0,0,2,0,37,4,0
6004010284,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
6004010287,0,0,0,0,0,0,65,8,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010288,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,88,150,32,58,75,68,23,31,0,47,20,154,176,53,0,127,93,68,10,43,96,0,0,116,24,1
6004010290,0,0,0,0,0,0,0,0,0,35,66,50,21,0,90,62,51,24,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,11,1,15,21,2,5,31,10,11,24,8,0,0,0,4,6,0,3,1,0
6004010313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1
6004010314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,291,99,42,30,2,19,5,0,0,0,46,0,1,57,60,2,37,0,0,4,0,0,0,0,0
6004010320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
6004010321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,853,543,0,300,10,0,400,300,0,267,135,313,150,12,0,0,0,0,0,0,0,0
6004010322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,24,10,79,56,3,0,37,0,0,0,24,0,14,0,0,0,0,0,0,0,0
6004010325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,203,274,1,0,13,6,0,0,0,0,7,0,0,0,20,79,0,2,0,0,0,0,0
6004010327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004010331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,76,271,0,23,0,0,10,26,0,0,0,0,0,17,0,0
6004010332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,1,0,0,0,6,40,25,71,10,10,0,0,0,0,0
6004010347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,15,57,20,0,1,1,0,0,0,0,0,1,0,0,0,0
6004010350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,180,222,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6004010351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
6004010353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,18,0,0,22,0,0,53,0,0,0,0,0,0,0,0,0,0,0
6004010357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,41,21,22,36,142,22,33,14,0,0,0,0,0
6004010359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,8,0,0,0,0,11,1,92,14,0,43,69,0
6004010364,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,29,58,20,6,69,22,31,16,37,62,17,5,12,4,8
6004010366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,12,0,0,0,0,0,0,0,0
6004010368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0
6004010369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,0,1,0,0,0,0,0,0,0
6004010372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,795,399,540,0,11,0,202,0,0,0,180,130,0
6004010375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
6004010377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0
6004010382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,16,0,0,0,0,0,0,0
6004010384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,150,260,97,14,0,0,0,0,0,0,0
6004010389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,9,0,25,0,0,0,0,0,0
6004010392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,24,9,0,0,0,0,0,0,0,0
6004010393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,32,17,0,0,0,0,0,0,0,0,0
6004010394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6004010396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6004010401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,37,8,68,130,0,108
6004010402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37,39,33,18,37,108,0
6004010403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,36,0,85,12,6
6004010404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,20,10,12,4,2,79,4
6004010405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,22,39,7,20,20,32,57
6004010407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0
6004010408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,19,6,2,2,14,9,6
6004010412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,30
6004010415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,123,151,143,21,35,2,1
6004010416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,4,4,2,1,8,19
6004010419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,132,71,19,80,134,46
6004010421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,408,0,0,498,346,0
6004010423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,21,28,44
6004010424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5
6004010430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
6004010432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,60,13
6004010433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300
6004010437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,51,0
6004010438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
6004010440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
6004010443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
6004020018,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020021,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020025,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020031,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020034,3,0,7,0,4,0,0,3,1,2,7,0,0,0,3,3,1,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,0,0,0
6004020039,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020041,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020060,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020061,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6004020063,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
6004020065,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020066,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6004020068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020072,1,1,1,0,3,4,17,6,11,11,3,3,6,0,5,8,9,16,8,8,11,8,6,1,10,3,2,2,6,1,5,9,4,0,1,7,1,0,5,6,0
6004020080,1,1,11,3,4,0,6,5,9,3,0,4,4,0,9,4,5,0,3,5,2,1,0,0,1,1,0,2,4,3,0,2,3,1,0,1,0,0,5,0,0
6004020084,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020141,27,4,22,8,12,9,42,16,62,34,16,32,18,0,30,21,22,22,24,26,31,22,10,10,16,6,5,6,6,0,9,10,9,2,2,0,1,0,5,0,0
6004020173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020174,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0
6004020176,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020333,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6004020351,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020352,0,0,2,0,0,0,0,11,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020370,1,1,1,3,5,0,4,4,1,0,0,0,0,0,0,2,0,0,1,1,2,2,0,0,3,0,0,2,3,3,0,0,1,0,3,0,0,3,0,0,1
6004020371,5,1,4,5,2,3,0,3,0,0,1,2,1,0,0,1,0,1,1,1,0,2,2,1,0,0,3,7,0,6,0,0,1,1,0,4,0,1,0,0,0
6004020372,21,13,17,14,13,11,31,20,34,30,22,25,19,1,15,15,11,10,9,12,8,4,24,3,4,4,10,4,1,2,0,3,3,3,10,1,2,2,3,5,0
6004020373,6,4,0,0,0,0,3,0,0,0,0,0,0,0,11,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,11
6004020374,39,8,33,17,21,22,60,33,56,38,31,55,15,3,42,13,13,29,26,40,57,25,23,28,19,2,23,31,17,16,26,21,47,70,26,12,4,14,16,16,12
6004020375,14,4,12,14,18,17,27,26,31,28,19,40,21,8,27,20,20,22,12,26,42,18,17,16,17,5,23,20,15,8,16,30,69,58,36,28,11,8,15,15,10
6004020417,5,6,7,6,10,4,10,2,17,13,5,5,4,1,9,10,5,10,12,12,13,8,9,2,7,2,5,4,3,0,2,4,2,2,3,0,0,4,3,2,0
6004020418,10,6,8,13,9,14,16,17,12,21,19,27,9,7,41,40,31,48,23,13,39,38,37,34,16,10,13,21,19,8,7,16,7,1,1,0,0,1,2,1,0
6004020420,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020481,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,8,10,8,0,16,0,6,0,1,0,0,0,0,0
6004020482,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6004020484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
6004020493,1,1,2,1,4,4,2,6,5,4,6,16,8,0,14,9,14,11,12,13,14,10,9,5,3,1,1,3,3,0,4,5,3,1,2,0,0,0,0,1,0
6004020499,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0
6004020502,4,1,5,7,14,14,16,20,19,13,1,7,8,0,3,1,4,11,1,11,16,2,7,4,3,0,10,23,7,1,3,8,18,31,13,8,3,4,3,6,1
6004020503,67,19,58,37,12,29,116,46,89,81,67,173,51,8,84,63,52,46,49,127,121,99,30,68,66,24,68,50,35,46,112,97,212,92,144,101,51,30,86,110,95
6004020504,11,2,10,9,2,2,19,10,13,19,16,25,10,8,20,12,11,11,12,22,20,14,7,12,10,4,15,7,6,6,8,21,56,16,24,21,10,5,9,9,9
6004020505,1,2,1,0,3,3,13,2,2,10,3,1,4,0,5,6,4,10,8,4,10,7,3,1,8,2,2,2,7,1,4,8,3,0,1,3,1,0,4,4,0
6004020511,1,1,3,1,3,3,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0
6004020514,1,1,1,2,1,3,1,0,0,1,0,1,1,0,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0
6004020515,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020622,18,9,24,16,2,10,20,16,17,17,9,54,19,0,38,15,12,7,9,29,39,19,23,15,23,7,21,17,16,8,18,42,130,28,22,37,6,10,16,8,12
6004020637,0,0,0,0,0,0,0,0,0,0,1,15,3,3,7,1,6,0,0,3,2,0,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
6004020656,23,8,23,31,29,36,55,30,69,49,29,39,20,4,50,54,46,70,77,75,75,47,35,43,29,24,24,40,18,18,25,28,31,38,30,34,2,6,37,28,10
6004020657,0,0,0,1,1,1,2,2,1,4,0,0,0,0,2,1,0,3,1,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,1,2,0,0,1,0,0
6004020662,0,0,0,3,0,1,1,3,0,0,0,0,0,0,0,0,4,0,6,3,1,0,1,0,0,0,1,1,0,0,1,0,4,3,1,3,0,0,0,3,0
6004020664,7,5,2,7,7,0,1,0,0,0,0,4,4,1,1,3,1,0,0,3,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6004020667,2,2,0,4,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6004020668,0,0,0,1,0,3,0,0,0,0,0,3,1,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020684,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020700,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6004020701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020703,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,5,3,4,0,0,0,0,0,0,0,0,0,0,0
6004020705,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020706,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020708,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020709,1,1,1,1,0,0,0,0,0,1,2,0,2,0,3,3,1,3,3,0,2,1,1,3,1,1,4,3,0,1,0,1,0,1,3,7,0,0,1,0,0
6004020714,4,1,9,5,0,0,6,9,9,5,7,27,4,2,9,4,6,5,3,18,5,10,3,8,12,4,10,1,8,10,9,7,11,9,14,3,2,5,10,11,7
6004020715,3,2,4,6,14,16,10,17,19,10,4,19,11,0,14,5,6,6,0,7,24,2,12,1,8,3,14,14,9,0,8,14,20,42,12,9,2,3,8,7,1
6004020716,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0
6004020723,2,0,2,5,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004020725,8,6,6,11,12,14,9,18,13,7,6,3,2,0,1,0,3,2,0,4,0,3,7,10,0,3,0,4,0,5,0,5,2,0,3,2,0,0,0,0,0
